E_i,S_i
7631,29999
29205,29998
7154,29996
4343,29995
28281,29994
25253,29993
816,29992
22762,29989
13823,29988
13192,29984
6037,29980
1823,29978
24069,29976
27476,29974
27414,29973
20574,29972
26850,29971
6643,29970
14756,29969
12779,29968
9795,29963
4440,29961
12717,29960
690,29958
26773,29957
4068,29956
16104,29954
28675,29951
29311,29948
9080,29947
12681,29944
1279,29941
24431,29940
16139,29938
24320,29936
21749,29935
21205,29934
24802,29933
13867,29930
14954,29929
2190,29928
13666,29927
25533,29926
18099,29921
8073,29920
28762,29916
26188,29914
4556,29912
15810,29909
23798,29906
8282,29899
20582,29895
9507,29894
6047,29891
9677,29890
6927,29888
18251,29884
21756,29883
12346,29881
10239,29878
22897,29875
20773,29873
9426,29870
16283,29869
20547,29867
24461,29864
20102,29861
9546,29860
26652,29859
16399,29858
11573,29857
29261,29854
24116,29853
1711,29852
1669,29851
12384,29847
21252,29846
3598,29842
4097,29841
17617,29839
16407,29838
23921,29837
9405,29836
21124,29835
8256,29830
8771,29827
6230,29824
2116,29823
14259,29820
6599,29818
19408,29817
6483,29815
20558,29813
7686,29812
17858,29810
18702,29807
28935,29800
8279,29798
29693,29797
15292,29796
3653,29793
19332,29792
25958,29791
3542,29789
19081,29786
12163,29785
13747,29784
2106,29783
7659,29781
22374,29778
18311,29776
17188,29772
14551,29770
28650,29765
22953,29763
3516,29761
7114,29760
25158,29757
13420,29756
27541,29755
16008,29754
8195,29753
14437,29752
21895,29751
25952,29750
2980,29748
8656,29747
7830,29743
16288,29739
12585,29737
23137,29736
14255,29735
9773,29734
20539,29732
5596,29730
18421,29729
21333,29727
21875,29720
26995,29716
29870,29715
11462,29714
1216,29713
16497,29709
3206,29707
19155,29706
28957,29705
25283,29703
27152,29699
3591,29696
5397,29693
6771,29691
12961,29689
7253,29688
19278,29683
18935,29682
4533,29681
16256,29680
9103,29679
19318,29678
8456,29677
24129,29676
5014,29674
29719,29671
29833,29668
24647,29665
15507,29664
23634,29662
21292,29661
11852,29660
16948,29659
24031,29656
18967,29652
14992,29651
5195,29650
9906,29647
8066,29646
15209,29645
3466,29644
10240,29642
22244,29641
23748,29638
12964,29635
4247,29633
23355,29632
8271,29630
20035,29625
27445,29624
11304,29621
11895,29619
652,29616
23897,29615
28806,29613
8945,29609
1600,29608
14438,29606
28968,29604
5103,29602
29445,29601
3579,29600
16788,29598
2311,29597
29033,29596
24292,29593
28780,29591
6542,29589
15126,29588
14311,29586
6950,29584
28153,29580
27662,29579
17444,29578
20299,29575
28977,29573
2755,29572
5000,29571
19093,29567
27297,29565
6059,29564
9778,29560
7691,29557
15219,29554
26578,29552
28999,29551
5794,29548
20938,29545
8771,29543
3248,29542
28977,29541
27558,29539
22033,29538
692,29534
21791,29532
15322,29531
20476,29527
13004,29526
20895,29525
16920,29524
16578,29522
22692,29519
9343,29518
18718,29516
13808,29515
25611,29513
10203,29506
26127,29504
19968,29503
23026,29499
14575,29496
11287,29495
787,29493
10707,29491
26127,29490
19811,29488
23385,29487
803,29484
3564,29483
16184,29482
1590,29481
1913,29477
9160,29475
2497,29474
25991,29472
