E_i,S_i
27371,149
18369,148
13531,147
45697,143
19510,142
21248,140
48502,139
31874,138
30815,136
31551,134
44614,133
47576,132
14178,131
39801,130
19840,126
36554,124
27118,122
25809,118
26238,117
24501,116
45515,115
32767,112
13886,111
29879,110
47991,109
14036,107
30353,106
23606,104
25619,103
21487,102
49223,101
10652,100
31757,99
42252,96
13857,95
12078,94
11647,93
15049,92
31238,91
13783,88
30318,86
31810,83
31206,81
27661,80
42443,79
36024,76
41899,74
24684,73
47972,71
42667,70
44398,68
38571,66
23610,65
12241,64
26263,63
16074,61
48654,57
14999,56
42665,54
22638,53
47683,52
18085,51
25016,49
34873,47
29149,45
45479,43
31644,42
31001,40
38180,39
24810,38
14769,37
21946,36
35474,34
37016,32
32776,30
24444,29
16505,28
26232,26
18556,25
32028,23
32808,21
37460,20
46882,19
28924,18
38485,17
41679,16
18651,15
14418,14
18421,13
18718,12
44330,11
39823,10
46696,9
27770,8
24905,6
19908,5
18380,4
20025,3
26141,2
34246,1
