E_i,S_i
46578,49977
32331,49844
31960,49829
17049,49514
41176,48928
22158,48491
35912,47733
17748,47599
47082,45765
45817,45747
18632,45484
43148,45184
44974,44939
30425,44424
10060,44416
44006,44405
31333,44029
16563,43578
34252,43491
25227,43455
14063,43325
10928,43296
17007,42464
40845,42025
46038,40002
40564,39995
41263,39903
22950,39725
19339,39090
19674,39028
35542,38751
23870,38171
37118,37081
46095,37015
45602,36586
25500,36334
16783,35474
21246,35446
16107,35397
13711,35270
36079,34699
47831,34398
30666,33216
17224,32851
26260,32367
40265,32214
33144,32062
28405,32011
46331,31979
18351,31962
17309,31781
11338,31663
38642,30880
10941,30843
19400,30811
29777,30768
36342,29673
39870,29490
17669,29075
27258,28958
40282,28932
38187,28662
36678,27972
28451,27581
42040,27028
46021,26980
13822,25638
20351,25086
26634,24914
26178,24836
37771,24549
22126,24464
33460,24384
17086,24073
45450,23558
22001,21942
30011,21316
34053,20611
27716,19871
32366,19777
21445,19212
45033,18464
18872,18375
11052,18007
24024,17288
38594,16362
38985,15705
11565,15268
32431,15197
18565,15100
11576,14974
28306,14944
35532,14302
27381,13866
17912,13442
28008,13356
21153,11488
46154,11430
35508,11282
15200,10138
